time_id,lsoa_code,deprivation_level,crime_count
2015-03-01,E01000934,Very High,3
2015-03-01,E01000935,High,2
2015-03-01,E01000937,Low,2
2015-03-01,E01000938,Very High,4
2015-03-01,E01000939,Very High,4
2015-03-01,E01000940,Low,1
2015-03-01,E01000941,Very High,4
2015-03-01,E01000942,Low,1
2015-03-01,E01000943,Low,1
2015-03-01,E01000944,Medium,1
2015-03-01,E01000945,High,16
2015-03-01,E01000946,Low,1
2015-03-01,E01000947,Medium,19
2015-03-01,E01000948,High,5
2015-03-01,E01000949,Low,1
2015-03-01,E01000950,Very High,5
2015-03-01,E01000952,High,5
2015-03-01,E01000953,Very High,35
2015-03-01,E01000954,Very High,2
2015-03-01,E01000955,High,4
2015-03-01,E01000956,High,5
2015-03-01,E01000957,Medium,3
2015-03-01,E01000958,Medium,7
2015-03-01,E01000959,Very High,3
2015-03-01,E01000960,Low,3
2015-03-01,E01000961,Medium,2
2015-03-01,E01000962,Very Low,2
2015-03-01,E01000963,Very Low,6
2015-03-01,E01000964,Low,2
2015-03-01,E01000968,Low,1
2015-03-01,E01000969,Very Low,2
2015-03-01,E01000970,Very Low,1
2015-03-01,E01000972,High,6
2015-03-01,E01000973,Low,5
2015-03-01,E01000974,Medium,4
2015-03-01,E01000975,Low,4
2015-03-01,E01000976,Medium,3
2015-03-01,E01000977,High,1
2015-03-01,E01000978,Low,3
2015-03-01,E01000979,Low,1
2015-03-01,E01000980,Medium,3
2015-03-01,E01000981,Very Low,1
2015-03-01,E01000982,Low,2
2015-03-01,E01000983,Very Low,1
